tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
141,6.707357880972367e-02,-1.046124561502762e-02,2198,-343,6.707763671875000e-02,-1.046752929687500e-02,6.788945807232176e-02,4.057909026328188e-06,-6.283681847379929e-06
142,-1.946337960920896e-02,7.436160933995380e-02,-638,2437,-1.947021484375000e-02,7.437133789062500e-02,7.687772867159445e-02,-6.835234541043012e-06,9.728550671203595e-06
143,-6.089528156090266e-02,-4.973386930482171e-02,-1995,-1630,-6.088256835937500e-02,-4.974365234375000e-02,7.862008699136522e-02,1.271320152766015e-05,-9.783038928290466e-06
144,6.533294256352475e-02,-3.251652564919033e-02,2141,-1066,6.533813476562500e-02,-3.253173828125000e-02,7.298894334247291e-02,5.192202100254284e-06,-1.521263205966905e-05
145,4.209129673216645e-03,6.064040529426321e-02,138,1987,4.211425781250000e-03,6.063842773437500e-02,6.078449658595517e-02,2.296108033355421e-06,-1.977559888212410e-06
146,-4.302020950355569e-02,-1.009134777604761e-02,-1410,-331,-4.302978515625000e-02,-1.010131835937500e-02,4.419953668524682e-02,-9.575652694313042e-06,-9.970583327387900e-06
147,6.853190882300899e-03,-2.752853858192609e-02,225,-902,6.866455078125000e-03,-2.752685546875000e-02,2.837033622178913e-02,1.326419582410067e-05,1.683113176088880e-06
148,2.642728147644978e-02,-4.898244609224674e-03,866,-161,2.642822265625000e-02,-4.913330078125000e-03,2.688106704029685e-02,9.411798002172123e-07,-1.508546890032630e-05
149,1.004904180172777e-02,4.069400972798023e-02,329,1333,1.004028320312500e-02,4.067993164062500e-02,4.190064587908970e-02,-8.758598602772588e-06,-1.407808735522792e-05
150,-5.931553229368879e-02,-1.971658903420562e-03,-1944,-65,-5.932617187500000e-02,-1.983642578125000e-03,5.935932536021439e-02,-1.063958131121423e-05,-1.198367470443829e-05
