stage,evm_percent,magnitude_only_evm_percent,fitted_delay_samples,gain_real,gain_imag,gain_abs_db,gain_phase_rad
after_h1,11.733268476,1.633122744,17.678978631,3.582351560301e-01,-9.234057005388e-01,-0.083263377,-1.200720926613
after_plan_b_complex_fir,0.299594745,0.123961217,127.500265536,9.999915996539e-01,5.989320769366e-04,-0.000071407,0.000598937037
after_plan_b_fixed_complex_fir,0.300096261,0.123679744,127.500101176,9.999883612286e-01,3.186757346117e-04,-0.000100653,0.000318679433
