subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_plan_b_equalized_i,after_plan_b_equalized_q,after_plan_b_fixed_equalized_i,after_plan_b_fixed_equalized_q,plan_b_abs,plan_b_phase_rad,plan_b_fixed_abs,plan_b_fixed_phase_rad
1035,20423,3739562988.281250,3.904253304380e+01,1.952126652190e+02,4.424932952442e+01,1.977156112830e+02,3.927335800299e+01,1.952083631834e+02,3.923513136393e+01,1.952323040831e+02,9.922482176072e-01,-0.182181963397,9.923242855288e-01,-0.181928494445
1036,20424,3739746093.750000,-3.904253304380e+01,2.732977313066e+02,-3.308808084358e+01,2.789970313171e+02,-3.854741463919e+01,2.734055157411e+02,-3.860849126275e+01,2.734192580078e+02,9.922212084656e-01,-0.192327659870,9.922974318621e-01,-0.192074006874
1037,20425,3739929199.218750,3.904253304380e+01,3.904253304380e+01,4.070868998306e+01,3.872834233223e+01,3.914320033308e+01,3.894647422076e+01,3.913807834912e+01,3.895791006428e+01,9.921941560203e-01,-0.202472775840,9.922705296669e-01,-0.202218958222
1038,20426,3740112304.687500,1.171275991314e+02,-2.732977313066e+02,1.122632918573e+02,-2.810122207842e+02,1.165865141249e+02,-2.735676937018e+02,1.166539925314e+02,-2.735649477394e+02,9.921670605678e-01,-0.212617313711,9.922435790752e-01,-0.212363350885
1039,20427,3740295410.156250,-1.171275991314e+02,-1.171275991314e+02,-1.220461296669e+02,-1.163304810637e+02,-1.172514011891e+02,-1.170644314347e+02,-1.172359791933e+02,-1.170987813242e+02,9.921399224587e-01,-0.222761275886,9.922165802731e-01,-0.222507187254
1040,20428,3740478515.625000,3.904253304380e+01,-3.904253304380e+01,3.881774457733e+01,-4.065595939752e+01,3.907506821699e+01,-3.904110914740e+01,3.908652231362e+01,-3.903595544865e+01,9.921127420970e-01,-0.232904664766,9.921895335007e-01,-0.232650469714
1041,20429,3740661621.093750,2.732977313066e+02,-3.904253304380e+01,2.773240893652e+02,-4.594340446559e+01,2.735094967892e+02,-3.860738252938e+01,2.735398270132e+02,-3.855234593231e+01,9.920855199404e-01,-0.243047482749,9.921624390520e-01,-0.242793200645
1042,20430,3740844726.562500,-3.904253304380e+01,1.952126652190e+02,-3.549124890743e+01,1.996100751377e+02,-3.963564798881e+01,1.952306524486e+02,-3.968038256019e+01,1.952380363765e+02,9.920582565020e-01,-0.253189732232,9.921352972764e-01,-0.252935382423
1043,20431,3741027832.031250,-3.904253304380e+01,-1.171275991314e+02,-4.227198969679e+01,-1.184401056698e+02,-3.864609718816e+01,-1.173673836934e+02,-3.862426525213e+01,-1.173851255969e+02,9.920309523480e-01,-0.263331415611,9.921081085771e-01,-0.263077017419
1044,20432,3741210937.500000,-1.171275991314e+02,-1.952126652190e+02,-1.239522383833e+02,-1.960536879421e+02,-1.169144030900e+02,-1.956290060851e+02,-1.168822826533e+02,-1.956697697173e+02,9.920036081001e-01,-0.273472535281,9.920808734134e-01,-0.273218108002
1045,20433,3741394042.968750,-1.171275991314e+02,-3.904253304380e+01,-1.203532843262e+02,-3.671345697819e+01,-1.172915273829e+02,-3.907467950822e+01,-1.172927552445e+02,-3.910280944950e+01,9.919762244344e-01,-0.283613093636,9.920535922987e-01,-0.283358656536
1046,20434,3741577148.437500,1.952126652190e+02,-2.732977313066e+02,1.911378209309e+02,-2.840685057449e+02,1.949525781276e+02,-2.741413217628e+02,1.950267662702e+02,-2.741221792850e+02,9.919488020820e-01,-0.293753093070,9.920262658027e-01,-0.293498665381
1047,20435,3741760253.906250,2.732977313066e+02,-1.171275991314e+02,2.749465318987e+02,-1.278200120849e+02,2.733317067554e+02,-1.184386371849e+02,2.733791786956e+02,-1.183901659463e+02,9.919213418287e-01,-0.303892535977,9.919988945497e-01,-0.303638136895
1048,20436,3741943359.375000,1.171275991314e+02,-1.952126652190e+02,1.129226983398e+02,-2.029060242218e+02,1.162151817606e+02,-1.963140071247e+02,1.162664027092e+02,-1.963053218323e+02,9.918938445157e-01,-0.314031424751,9.919714792204e-01,-0.313777073435
1049,20437,3742126464.843750,-2.732977313066e+02,-3.904253304380e+01,-2.799145555683e+02,-3.072018168739e+01,-2.740742447292e+02,-3.760813717041e+01,-2.740886419153e+02,-3.766945472020e+01,9.918663110394e-01,-0.324169761789,9.919440205507e-01,-0.323915477352
1050,20438,3742309570.312500,-2.732977313066e+02,-1.171275991314e+02,-2.823566373996e+02,-1.105977875304e+02,-2.742965119634e+02,-1.162211023470e+02,-2.742942518411e+02,-1.162888694076e+02,9.918387423513e-01,-0.334307549485,9.919165193329e-01,-0.334053351000
1051,20439,3742492675.781250,-2.732977313066e+02,-3.904253304380e+01,-2.797718571636e+02,-3.128287830645e+01,-2.738739592609e+02,-3.836925815763e+01,-2.738882232679e+02,-3.843053950180e+01,9.918111394585e-01,-0.344444790237,9.918889764148e-01,-0.344190696727
1052,20440,3742675781.250000,1.171275991314e+02,3.904253304380e+01,1.205429124289e+02,3.626419146630e+01,1.173601336584e+02,3.895171961563e+01,1.173614792564e+02,3.897980741616e+01,9.917835034229e-01,-0.354581486446,9.918613927005e-01,-0.354327516882
1053,20441,3742858886.718750,-1.952126652190e+02,1.952126652190e+02,-1.932529131307e+02,2.045953504257e+02,-1.955069808906e+02,1.954590747511e+02,-1.955644345682e+02,1.954336413869e+02,9.917558353628e-01,-0.364717640512,9.918337691506e-01,-0.364463813814
1054,20442,3743041992.187500,1.952126652190e+02,-1.171275991314e+02,1.955631288725e+02,-1.249270766065e+02,1.955762127611e+02,-1.170876573302e+02,1.956170445691e+02,-1.170558278845e+02,9.917281364510e-01,-0.374853254840,9.918061067812e-01,-0.374599589870
1055,20443,3743225097.656250,-1.171275991314e+02,-1.171275991314e+02,-1.228799166354e+02,-1.158370273333e+02,-1.173002981403e+02,-1.172808285000e+02,-1.172850971568e+02,-1.173152684226e+02,9.917004079165e-01,-0.384988331836,9.917784066653e-01,-0.384734847398
1056,20444,3743408203.125000,-2.732977313066e+02,-2.732977313066e+02,-2.871508812113e+02,-2.699086958367e+02,-2.740193546849e+02,-2.733973392190e+02,-2.739840314083e+02,-2.734776925654e+02,9.916726510430e-01,-0.395122873911,9.917506699315e-01,-0.394869588744
1057,20445,3743591308.593750,-1.952126652190e+02,-1.952126652190e+02,-2.054153315563e+02,-1.925216520153e+02,-1.959554420841e+02,-1.950994148139e+02,-1.959303171547e+02,-1.951567999404e+02,9.916448671702e-01,-0.405256883478,9.917228977651e-01,-0.405003816258
1058,20446,3743774414.062500,-1.171275991314e+02,-1.952126652190e+02,-1.261278520798e+02,-1.949452211595e+02,-1.179630237028e+02,-1.951683793578e+02,-1.179315361381e+02,-1.952092715278e+02,9.916170576930e-01,-0.415390362954,9.916950914079e-01,-0.415137532290
1059,20447,3743957519.531250,3.904253304380e+01,2.732977313066e+02,4.963572540921e+01,2.772013512985e+02,4.028933598709e+01,2.736296556417e+02,4.023500105847e+01,2.736605898145e+02,9.915892240613e-01,-0.425523314763,9.916672521570e-01,-0.425270739189
1060,20448,3744140625.000000,1.171275991314e+02,-1.171275991314e+02,1.151851728430e+02,-1.235976179931e+02,1.168783299506e+02,-1.177763374567e+02,1.169126921272e+02,-1.177614111961e+02,9.915613677805e-01,-0.435655741329,9.916393813665e-01,-0.435403439309
1061,20449,3744323730.468750,-2.732977313066e+02,1.952126652190e+02,-2.716338645354e+02,2.086216167804e+02,-2.731433583486e+02,1.963020021161e+02,-2.732069902375e+02,1.962607245774e+02,9.915334904114e-01,-0.445787645085,9.916114804465e-01,-0.445535635004
1062,20450,3744506835.937500,1.171275991314e+02,1.171275991314e+02,1.234342976269e+02,1.152766493448e+02,1.175136025835e+02,1.170499354456e+02,1.174986867196e+02,1.170841758411e+02,9.915055935692e-01,-0.455919028468,9.915835508630e-01,-0.455667328632
1063,20451,3744689941.406250,-1.171275991314e+02,-1.171275991314e+02,-1.233526166659e+02,-1.153223064461e+02,-1.173820554597e+02,-1.171356134763e+02,-1.173671464557e+02,-1.171697881917e+02,9.914776789245e-01,-0.466049893920,9.915555941381e-01,-0.465798522553
1064,20452,3744873046.875000,-1.171275991314e+02,-1.952126652190e+02,-1.259052593834e+02,-1.949141865598e+02,-1.172601163270e+02,-1.953784069812e+02,-1.172288796317e+02,-1.954189144126e+02,9.914497482026e-01,-0.476180243891,9.915276118498e-01,-0.475929219131
1065,20453,3745056152.343750,3.904253304380e+01,1.171275991314e+02,4.367609846166e+01,1.180126261474e+02,3.899730942243e+01,1.172518203787e+02,3.897603684378e+01,1.172695504474e+02,9.914218031832e-01,-0.486310080834,9.914996056315e-01,-0.486059420733
1066,20454,3745239257.812500,-3.904253304380e+01,3.904253304380e+01,-3.848069725104e+01,4.107798727612e+01,-3.912659717477e+01,3.903712567421e+01,-3.913792498847e+01,3.903216926011e+01,9.913938457008e-01,-0.496439407214,9.914715771728e-01,-0.496189129730
1067,20455,3745422363.281250,3.904253304380e+01,1.952126652190e+02,4.626589582388e+01,1.976407112785e+02,3.877089356494e+01,1.955056880409e+02,3.873342911724e+01,1.955297130544e+02,9.913658776441e-01,-0.506568225498,9.914435282184e-01,-0.506318348498
1068,20456,3745605468.750000,2.732977313066e+02,3.904253304380e+01,2.798594128006e+02,3.074564892689e+01,2.735826967012e+02,3.967115151200e+01,2.735967889946e+02,3.973112657525e+01,9.913379009555e-01,-0.516696538165,9.914154605685e-01,-0.516447079418
1069,20457,3745788574.218750,-2.732977313066e+02,1.171275991314e+02,-2.747526077956e+02,1.284386260909e+02,-2.740142842734e+02,1.165967417301e+02,-2.740607403145e+02,1.165495381338e+02,9.913099176319e-01,-0.526824347700,9.913873760784e-01,-0.526575324875
1070,20458,3745971679.687500,-2.732977313066e+02,1.952126652190e+02,-2.722431051948e+02,2.080642054054e+02,-2.743566178272e+02,1.947006232633e+02,-2.744191429100e+02,1.946598202963e+02,9.912819297235e-01,-0.536951656595,9.913592766584e-01,-0.536703087261
1071,20459,3746154785.156250,1.171275991314e+02,-2.732977313066e+02,1.103777560436e+02,-2.826650235085e+02,1.182291219206e+02,-2.734671247044e+02,1.182950579264e+02,-2.734649913670e+02,9.912539393341e-01,-0.547078467353,9.913311642736e-01,-0.546830368973
1072,20460,3746337890.625000,-2.732977313066e+02,-1.171275991314e+02,-2.828059282894e+02,-1.103139821864e+02,-2.735522864720e+02,-1.182783216912e+02,-2.735501735796e+02,-1.183441257768e+02,9.912259486204e-01,-0.557204782486,9.913030409433e-01,-0.556957172416
1073,20461,3746520996.093750,-1.952126652190e+02,1.952126652190e+02,-1.926110775099e+02,2.059023931195e+02,-1.963643220086e+02,1.950916527537e+02,-1.964202088242e+02,1.950672046434e+02,9.911979597919e-01,-0.567330604514,9.912749087413e-01,-0.567083500000
1074,20462,3746704101.562500,3.904253304380e+01,-3.904253304380e+01,3.852090597498e+01,-4.120917980306e+01,3.928725924067e+01,-3.902957846603e+01,3.929841303232e+01,-3.902470197681e+01,9.911699751114e-01,-0.577455935968,9.912467697958e-01,-0.577209354143
1075,20463,3746887207.031250,1.952126652190e+02,1.171275991314e+02,2.034711226315e+02,1.128404370622e+02,1.954648959591e+02,1.181658885544e+02,1.954565725961e+02,1.182152680664e+02,9.911419968933e-01,-0.587580779390,9.912186262881e-01,-0.587334737270
1076,20464,3747070312.500000,-2.732977313066e+02,1.171275991314e+02,-2.749385079526e+02,1.294537535840e+02,-2.745080524703e+02,1.167890033179e+02,-2.745538884241e+02,1.167425980514e+02,9.911140275045e-01,-0.597705137330,9.911904804537e-01,-0.597459651815
1077,20465,3747253417.968750,-3.904253304380e+01,2.732977313066e+02,-2.940906661502e+01,2.804731453470e+02,-3.936515087988e+01,2.740196352966e+02,-3.942385610392e+01,2.740336591147e+02,9.910860693629e-01,-0.607829012351,9.911623345805e-01,-0.607584100219
1078,20466,3747436523.437500,-1.952126652190e+02,-3.904253304380e+01,-2.007341427767e+02,-3.192294751505e+01,-1.956863032153e+02,-3.891930929836e+01,-1.956941121100e+02,-3.896197411714e+01,9.910581249384e-01,-0.617952407028,9.911341910100e-01,-0.617708084933
1079,20467,3747619628.906250,3.904253304380e+01,1.171275991314e+02,4.481864053502e+01,1.177485502490e+02,3.945094636977e+01,1.172082543855e+02,3.943048370294e+01,1.172255663531e+02,9.910301967516e-01,-0.628075323947,9.911060521360e-01,-0.627831608417
1080,20468,3747802734.375000,-1.952126652190e+02,-2.732977313066e+02,-2.112296699126e+02,-2.696756426478e+02,-1.967389978413e+02,-2.726683921380e+02,-1.966999101414e+02,-2.727296267980e+02,9.910022873735e-01,-0.638197765704,9.910779204041e-01,-0.637954673139
1081,20469,3747985839.843750,-1.952126652190e+02,1.171275991314e+02,-1.932415569055e+02,1.285172983445e+02,-1.945450342845e+02,1.184899572576e+02,-1.945842068317e+02,1.184604253023e+02,9.909743994255e-01,-0.648319734910,9.910497983122e-01,-0.648077281579
1082,20470,3748168945.312500,-3.904253304380e+01,-2.732977313066e+02,-5.253131491808e+01,-2.765093772554e+02,-4.059950080301e+01,-2.732487001474e+02,-4.054820033768e+01,-2.732784377911e+02,9.909465355788e-01,-0.658441234188,9.910216884097e-01,-0.658199436226
1083,20471,3748352050.781250,1.171275991314e+02,2.732977313066e+02,1.318357715222e+02,2.730105014325e+02,1.183973389962e+02,2.729894119686e+02,1.183524078642e+02,2.730344985540e+02,9.909186985538e-01,-0.668562266176,9.909935932969e-01,-0.668321139580
1084,20472,3748535156.250000,-1.171275991314e+02,-1.952126652190e+02,-1.281046796006e+02,-1.936092407676e+02,-1.178223755052e+02,-1.950174320671e+02,-1.177930067213e+02,-1.950561145289e+02,9.908908911200e-01,-0.678682833521,9.909655156246e-01,-0.678442394151
1085,20473,3748718261.718750,-1.952126652190e+02,2.732977313066e+02,-1.868590566201e+02,2.870811627867e+02,-1.949089071397e+02,2.739022330162e+02,-1.949782512905e+02,2.738852253204e+02,9.908631160957e-01,-0.688802938890,9.909374580947e-01,-0.688563202463
1086,20474,3748901367.187500,-1.171275991314e+02,3.904253304380e+01,-1.176783637214e+02,4.485036445401e+01,-1.172298535884e+02,3.914238316248e+01,-1.172467048232e+02,3.912238440384e+01,9.908353763463e-01,-0.698922584958,9.909094234576e-01,-0.698683567049
1087,20475,3749084472.656250,-2.732977313066e+02,3.904253304380e+01,-2.768981640171e+02,5.153188184046e+01,-2.736325664484e+02,3.903912235697e+01,-2.736614957427e+02,3.898854976735e+01,9.908076747858e-01,-0.709041774421,9.908814145144e-01,-0.708803490456
1088,20476,3749267578.125000,-2.732977313066e+02,-3.904253304380e+01,-2.803328435882e+02,-2.795361685487e+01,-2.736790744337e+02,-3.914897012961e+01,-2.736926312937e+02,-3.920541072289e+01,9.907800143748e-01,-0.719160509983,9.908534341145e-01,-0.718922975243
1089,20477,3749450683.593750,-3.904253304380e+01,-1.171275991314e+02,-4.494437941905e+01,-1.177350512477e+02,-3.908458264458e+01,-1.173276694148e+02,-3.906479180939e+01,-1.173443143059e+02,9.907523981204e-01,-0.729278794370,9.908254851557e-01,-0.729042023981
1090,20478,3749633789.062500,-3.904253304380e+01,-2.732977313066e+02,-5.190955241160e+01,-2.770431298320e+02,-3.906277675135e+01,-2.738158152383e+02,-3.901277188248e+01,-2.738443979305e+02,9.907248290759e-01,-0.739396630319,9.907975705841e-01,-0.739160639257
1091,20479,3749816894.531250,-1.952126652190e+02,-2.732977313066e+02,-2.113695312053e+02,-2.701187439739e+02,-1.955671451520e+02,-2.739076741374e+02,-1.955292890535e+02,-2.739663022166e+02,9.906973103402e-01,-0.749514020586,9.907696933929e-01,-0.749278823668
1092,20480,3750000000.000000,2.732977313066e+02,2.732977313066e+02,2.912181333623e+02,2.665805082808e+02,2.738753114247e+02,2.739852222924e+02,2.738435478714e+02,2.740586233227e+02,9.906698450569e-01,-0.759630967941,9.907418566226e-01,-0.759396579827
1093,20481,3750183105.468750,3.904253304380e+01,-3.904253304380e+01,3.801168627697e+01,-4.165895871566e+01,3.908843790531e+01,-3.916619502944e+01,3.909887972816e+01,-3.916168822962e+01,9.906424364144e-01,-0.769747475172,9.907140633600e-01,-0.769513910362
1094,20482,3750366210.937500,2.732977313066e+02,-3.904253304380e+01,2.769070562292e+02,-5.303974173882e+01,2.737662142245e+02,-3.972072675489e+01,2.737943727310e+02,-3.967163265240e+01,9.906150876448e-01,-0.779863545084,9.906863167379e-01,-0.779630817915
1095,20483,3750549316.406250,1.171275991314e+02,-3.904253304380e+01,1.175092326781e+02,-4.567370988573e+01,1.172157529865e+02,-3.951273760270e+01,1.172320083269e+02,-3.949349650241e+01,9.905878020235e-01,-0.789979180500,9.906586199343e-01,-0.789747305142
1096,20484,3750732421.875000,1.171275991314e+02,1.952126652190e+02,1.295118753502e+02,1.930171729959e+02,1.182252071496e+02,1.950146577917e+02,1.181972449215e+02,1.950514547081e+02,9.905605828685e-01,-0.800094384258,9.906309761719e-01,-0.799863374717
1097,20485,3750915527.343750,-1.952126652190e+02,-1.171275991314e+02,-2.052587471194e+02,-1.090203300740e+02,-1.961988363514e+02,-1.161859552526e+02,-1.961915531303e+02,-1.162313572287e+02,9.905334335399e-01,-0.810209159217,9.906033887178e-01,-0.809979029328
1098,20486,3751098632.812500,3.904253304380e+01,1.171275991314e+02,4.610385072468e+01,1.172885702148e+02,3.979548147266e+01,1.170586255032e+02,3.977655321071e+01,1.170746611214e+02,9.905063574396e-01,-0.820323508254,9.905758608826e-01,-0.820094271679
1099,20487,3751281738.281250,-1.171275991314e+02,-2.732977313066e+02,-1.340101839854e+02,-2.722526398011e+02,-1.187103853208e+02,-2.730002408757e+02,-1.186683420273e+02,-2.730422368320e+02,9.904793580099e-01,-0.830437434262,9.905483960201e-01,-0.830209104491
1100,20488,3751464843.750000,3.904253304380e+01,3.904253304380e+01,4.186324323950e+01,3.770139258709e+01,3.925988479122e+01,3.889980448067e+01,3.925554386695e+01,3.890988399872e+01,9.904524387333e-01,-0.840550940155,9.905209975260e-01,-0.840323530501
1101,20489,3751647949.218750,1.952126652190e+02,1.952126652190e+02,2.092261963738e+02,1.885237486694e+02,1.961242020533e+02,1.945875778369e+02,1.961025558056e+02,1.946376668339e+02,9.904256031321e-01,-0.850664028867,9.904936688381e-01,-0.850437552466
1102,20490,3751831054.687500,1.952126652190e+02,2.732977313066e+02,2.132553181086e+02,2.680758369529e+02,1.962034492688e+02,2.728010807475e+02,1.961675888717e+02,2.728564936018e+02,9.903988547675e-01,-0.860776703351,9.904664134353e-01,-0.860551173157
1103,20491,3752014160.156250,-1.952126652190e+02,1.171275991314e+02,-1.926614888883e+02,1.295204834026e+02,-1.949724423260e+02,1.176606585642e+02,-1.950077012782e+02,1.176335423602e+02,9.903721972385e-01,-0.870888966578,9.904392348367e-01,-0.870664395365
1104,20492,3752197265.625000,3.904253304380e+01,-1.171275991314e+02,3.370012912747e+01,-1.213003353246e+02,3.888228261433e+01,-1.172098250452e+02,3.890623421157e+01,-1.172110523754e+02,9.903456341819e-01,-0.881000821541,9.904121366015e-01,-0.880777221897
1105,20493,3752380371.093750,2.732977313066e+02,-1.952126652190e+02,2.683534821722e+02,-2.127436238255e+02,2.732714707629e+02,-1.953313288939e+02,2.733257377083e+02,-1.952958140350e+02,9.903191692710e-01,-0.891112271253,9.903851223276e-01,-0.890889655582
1106,20494,3752563476.562500,-2.732977313066e+02,-3.904253304380e+01,-2.802749006995e+02,-2.600486556663e+01,-2.732840890630e+02,-3.925706885209e+01,-2.732960249806e+02,-3.930869631074e+01,9.902928062156e-01,-0.901223318748,9.903581956516e-01,-0.901001699264
1107,20495,3752746582.031250,3.904253304380e+01,-3.904253304380e+01,3.782055876333e+01,-4.169502052813e+01,3.911534075798e+01,-3.896809355517e+01,3.912496525943e+01,-3.896381499267e+01,9.902665487606e-01,-0.911333967081,9.903313602478e-01,-0.911113355808
1108,20496,3752929687.500000,-1.952126652190e+02,-1.952126652190e+02,-2.083331185478e+02,-1.892366488859e+02,-1.946076451525e+02,-1.957771227954e+02,-1.945862874440e+02,-1.958248993207e+02,9.902404006853e-01,-0.921444219327,9.903046198272e-01,-0.921224628098
1109,20497,3753112792.968750,1.952126652190e+02,1.171275991314e+02,2.044826057074e+02,1.097636001407e+02,1.947544312395e+02,1.178172170393e+02,1.947468781810e+02,1.178594263706e+02,9.902143658032e-01,-0.931554078584,9.902779781372e-01,-0.931335519038
1110,20498,3753295898.437500,-1.171275991314e+02,-2.732977313066e+02,-1.325915865859e+02,-2.725729097680e+02,-1.160151355748e+02,-2.737038250684e+02,-1.159750664002e+02,-2.737424315391e+02,9.901884479607e-01,-0.941663547971,9.902514389609e-01,-0.941446031551
1111,20499,3753479003.906250,-3.904253304380e+01,3.904253304380e+01,-3.784704575551e+01,4.166062787514e+01,-3.920071442533e+01,3.886330974568e+01,-3.921006547502e+01,3.885907781845e+01,9.901626510364e-01,-0.951772630630,9.902250061157e-01,-0.951556168582
1112,20500,3753662109.375000,2.732977313066e+02,1.171275991314e+02,2.839985455136e+02,1.058900370317e+02,2.726636972486e+02,1.183651183066e+02,2.726611701344e+02,1.184199614238e+02,9.901369789409e-01,-0.961881329724,9.901986834535e-01,-0.961665933095
1113,20501,3753845214.843750,-1.952126652190e+02,1.952126652190e+02,-1.891948661204e+02,2.083219116969e+02,-1.961182168649e+02,1.941620925270e+02,-1.961642709365e+02,1.941410716755e+02,9.901114356151e-01,-0.971989648440,9.901724748591e-01,-0.971775328075
1114,20502,3754028320.312500,-1.952126652190e+02,-1.952126652190e+02,-2.083150691135e+02,-1.891917835051e+02,-1.940679814185e+02,-1.961915370776e+02,-1.940470252940e+02,-1.962372313388e+02,9.900860250299e-01,-0.982097589985,9.901463842498e-01,-0.981884356529
1115,20503,3754211425.781250,-3.904253304380e+01,-1.171275991314e+02,-4.543138217307e+01,-1.173567556614e+02,-3.828245703841e+01,-1.173170825403e+02,-3.826502811993e+01,-1.173310278601e+02,9.900607511857e-01,-0.992205157592,9.901204155747e-01,-0.991993021483
1116,20504,3754394531.250000,1.952126652190e+02,2.732977313066e+02,2.118742329591e+02,2.688716985819e+02,1.931326418052e+02,2.745533313137e+02,1.930986107572e+02,2.746030855592e+02,9.900356181108e-01,-1.002312354516,9.900945728136e-01,-1.002101325988
1117,20505,3754577636.718750,-1.171275991314e+02,3.904253304380e+01,-1.173907315956e+02,4.531878666568e+01,-1.173706292181e+02,3.806943498522e+01,-1.173842863108e+02,3.805219334179e+01,9.900106298612e-01,-1.012419184036,9.900688599764e-01,-1.012209273115
1118,20506,3754760742.187500,1.952126652190e+02,2.732977313066e+02,2.116085911556e+02,2.690499816679e+02,1.926212335648e+02,2.748627191612e+02,1.925874599307e+02,2.749115626881e+02,9.899857905195e-01,-1.022525649454,9.900432811023e-01,-1.022316865956
1119,20507,3754943847.656250,2.732977313066e+02,2.732977313066e+02,2.909717078536e+02,2.655002446674e+02,2.703908298208e+02,2.757882909344e+02,2.703617919978e+02,2.758495734256e+02,9.899611041941e-01,-1.032631754096,9.900178402586e-01,-1.032424107628
1120,20508,3755126953.125000,1.171275991314e+02,-3.904253304380e+01,1.173687317800e+02,-4.538581755286e+01,1.173921924853e+02,-3.798449634293e+01,1.174054375032e+02,-3.796756517841e+01,9.899365750183e-01,-1.042737501311,9.899925415405e-01,-1.042531001267
1121,20509,3755310058.593750,1.171275991314e+02,2.732977313066e+02,1.330632960404e+02,2.723382898036e+02,1.151867837833e+02,2.739590512156e+02,1.151490908280e+02,2.739939519942e+02,9.899122071496e-01,-1.052842894474,9.899673890696e-01,-1.052637550036
1122,20510,3755493164.062500,2.732977313066e+02,-3.904253304380e+01,2.762010667403e+02,-5.422120188505e+01,2.733867248107e+02,-3.767662433455e+01,2.734087365573e+02,-3.763473598776e+01,9.898880047688e-01,-1.062947936985,9.899423869938e-01,-1.062743757118
1123,20511,3755676269.531250,1.952126652190e+02,1.171275991314e+02,2.052526649023e+02,1.084567159798e+02,1.948135471587e+02,1.176875643149e+02,1.948059055816e+02,1.177255105570e+02,9.898639720786e-01,-1.073052632266,9.899175394853e-01,-1.072849625720
1124,20512,3755859375.000000,-1.952126652190e+02,2.732977313066e+02,-1.829896092641e+02,2.895608639461e+02,-1.954882089032e+02,2.730602090090e+02,-1.955426601759e+02,2.730446167961e+02,9.898401133035e-01,-1.083156983766,9.898928507409e-01,-1.082955159073
1125,20513,3756042480.468750,-1.171275991314e+02,-1.952126652190e+02,-1.309071118398e+02,-1.918078731318e+02,-1.171898594139e+02,-1.951878135925e+02,-1.171656229947e+02,-1.952171775560e+02,9.898164326886e-01,-1.093260994957,9.898683249807e-01,-1.093060360431
1126,20514,3756225585.937500,-1.171275991314e+02,-2.732977313066e+02,-1.355689368942e+02,-2.713874143588e+02,-1.170978602881e+02,-2.733832020623e+02,-1.170615207550e+02,-2.734165339161e+02,9.897929344981e-01,-1.103364669338,9.898439664465e-01,-1.103165233073
1127,20515,3756408691.406250,3.904253304380e+01,-1.171275991314e+02,3.280755142374e+01,-1.216441891359e+02,3.914041223883e+01,-1.171473491393e+02,3.916071108160e+01,-1.171476030747e+02,9.897696230156e-01,-1.113468010432,9.898197794023e-01,-1.113269780299
1128,20516,3756591796.875000,1.952126652190e+02,-3.904253304380e+01,1.965911012925e+02,-5.138127198607e+01,1.953726832304e+02,-3.883124311703e+01,1.953890434310e+02,-3.880321998993e+01,9.897465025422e-01,-1.123571021789,9.897957681321e-01,-1.123374005436
1129,20517,3756774902.343750,1.171275991314e+02,2.732977313066e+02,1.355934312464e+02,2.715800469472e+02,1.167528931125e+02,2.737033868503e+02,1.167171794751e+02,2.737355137170e+02,9.897235773957e-01,-1.133673706982,9.897719369398e-01,-1.133477911836
1130,20518,3756958007.812500,-1.171275991314e+02,-1.171275991314e+02,-1.263410091722e+02,-1.124501540149e+02,-1.169801878115e+02,-1.174940455085e+02,-1.169683855989e+02,-1.175177954921e+02,9.897008519100e-01,-1.143776069612,9.897482901475e-01,-1.143581502873
1131,20519,3757141113.281250,3.904253304380e+01,1.171275991314e+02,4.685296907993e+01,1.170135920575e+02,3.888177473324e+01,1.172777329200e+02,3.886610982161e+01,1.172894794123e+02,9.896783304343e-01,-1.153878113304,9.897248320960e-01,-1.153684781947
1132,20520,3757324218.750000,-3.904253304380e+01,-1.171275991314e+02,-4.699393069456e+01,-1.169187126728e+02,-3.897438735180e+01,-1.172073054152e+02,-3.895884770579e+01,-1.172189006606e+02,9.896560173310e-01,-1.163979841710,9.897015671416e-01,-1.163787752482
1133,20521,3757507324.218750,1.952126652190e+02,3.904253304380e+01,2.012609099425e+02,2.747031900686e+01,1.952450849859e+02,3.901584706253e+01,1.952487718597e+02,3.904658092106e+01,9.896339169767e-01,-1.174081258508,9.896784996578e-01,-1.173890417930
1134,20522,3757690429.687500,-2.732977313066e+02,1.952126652190e+02,-2.656736905409e+02,2.162986632780e+02,-2.730451173736e+02,1.954671224618e+02,-2.730866932909e+02,1.954363980991e+02,9.896120337592e-01,-1.184182367401,9.896556340321e-01,-1.183992781763
1135,20523,3757873535.156250,1.952126652190e+02,1.171275991314e+02,2.063418028737e+02,1.063873297338e+02,1.953470843446e+02,1.166923639631e+02,1.953392072280e+02,1.167261419597e+02,9.895903720784e-01,-1.194283172120,9.896329746667e-01,-1.194094847483
1136,20524,3758056640.625000,1.952126652190e+02,-3.904253304380e+01,1.960170946390e+02,-5.272768403578e+01,1.949906501657e+02,-3.950855386736e+01,1.950051853892e+02,-3.948228623253e+01,9.895689363434e-01,-1.204383676420,9.896105259761e-01,-1.204196618614
1137,20525,3758239746.093750,1.171275991314e+02,-1.171275991314e+02,1.113534228656e+02,-1.270304370806e+02,1.167956190391e+02,-1.173520714977e+02,1.168175352716e+02,-1.173406183429e+02,9.895477309734e-01,-1.214483884085,9.895882923874e-01,-1.214298098709
