freq_hz,after_h1_error_percent,after_float_plan_c_error_percent
3610107421.875000,5.678909698591e+00,1.786323379260e+00
3610290527.343750,5.594523236393e+00,1.701884499807e+00
3610473632.812500,5.510446300321e+00,1.630735803550e+00
3610656738.281250,5.426694562133e+00,1.503515609185e+00
3610839843.750000,5.343284617414e+00,1.418991739729e+00
3611022949.218750,5.280108943235e+00,1.398249443869e+00
3611206054.687500,5.355871307198e+00,1.426584888492e+00
3611389160.156250,5.431761815456e+00,1.500878137516e+00
3611572265.625000,5.507774777759e+00,1.561993358378e+00
3611755371.093750,5.583904804678e+00,1.630580568056e+00
3611938476.562500,5.660146788548e+00,1.703568759875e+00
3612121582.031250,5.774535892449e+00,1.817763232493e+00
3612304687.500000,5.908766368777e+00,1.957898265994e+00
3612487792.968750,6.043642675157e+00,2.080142544544e+00
3612670898.437500,6.179118241919e+00,2.218559316809e+00
3612854003.906250,6.315150309269e+00,2.361624156162e+00
3613037109.375000,6.376214489144e+00,2.443721355483e+00
3613220214.843750,6.140607673090e+00,2.218957499885e+00
3613403320.312500,5.905193414610e+00,1.995064001623e+00
3613586425.781250,5.669997147730e+00,1.813510681373e+00
3613769531.250000,5.435048626070e+00,1.622896612382e+00
3613952636.718750,5.200382886183e+00,1.459518361882e+00
3614135742.187500,5.162361273780e+00,1.357626914493e+00
3614318847.656250,5.193399785650e+00,1.352014159162e+00
3614501953.125000,5.225020963290e+00,1.283721241258e+00
3614685058.593750,5.257214409372e+00,1.238491837653e+00
3614868164.062500,5.289969791669e+00,1.247579215853e+00
3615051269.531250,5.321116595990e+00,1.242007164942e+00
3615234375.000000,5.347717655513e+00,1.292690742066e+00
3615417480.468750,5.375573430856e+00,1.412908888608e+00
3615600585.937500,5.404663631887e+00,1.459634220115e+00
3615783691.406250,5.434967552419e+00,1.532722804682e+00
3615966796.875000,5.466464127640e+00,1.600813001310e+00
3616149902.343750,5.477437915221e+00,1.623257498984e+00
3616333007.812500,5.483712271284e+00,1.642760527494e+00
3616516113.281250,5.489987002717e+00,1.612397893168e+00
3616699218.750000,5.496262108619e+00,1.553050274277e+00
3616882324.218750,5.502537588096e+00,1.595563329964e+00
3617065429.687500,5.533520882929e+00,1.588775243811e+00
3617248535.156250,5.608948679555e+00,1.654953370867e+00
3617431640.625000,5.684387992454e+00,1.683220272872e+00
3617614746.093750,5.759838737855e+00,1.765497039806e+00
3617797851.562500,5.835300835728e+00,1.748092617159e+00
3617980957.031250,5.910774209545e+00,1.801356408775e+00
3618164062.500000,5.858833818258e+00,1.712894521917e+00
3618347167.968750,5.792529801793e+00,1.621083258746e+00
3618530273.437500,5.726691652762e+00,1.541739454246e+00
3618713378.906250,5.661336909432e+00,1.433000844652e+00
3618896484.375000,5.596483806511e+00,1.343084494161e+00
3619079589.843750,5.577004731171e+00,1.308567608500e+00
3619262695.312500,5.616145675557e+00,1.353302775175e+00
3619445800.781250,5.655468705862e+00,1.390741315174e+00
3619628906.250000,5.694969774516e+00,1.491062835834e+00
3619812011.718750,5.734644928567e+00,1.475954771211e+00
3619995117.187500,5.774490307648e+00,1.525640957666e+00
3620178222.656250,5.746744759800e+00,1.459471571711e+00
3620361328.125000,5.717302407932e+00,1.410786494330e+00
3620544433.593750,5.688022164920e+00,1.291216606967e+00
3620727539.062500,5.658906717121e+00,1.308737484764e+00
3620910644.531250,5.629958792121e+00,1.237227011272e+00
3621093750.000000,5.597113437423e+00,1.327192051171e+00
3621276855.468750,5.561238218307e+00,1.273812010803e+00
