subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_plan_c_equalized_i,after_float_plan_c_equalized_q
39,19427,3557189941.406250,1.952126652190e+02,-1.171275991314e+02,2.057310458646e+02,-1.137419509566e+02,1.943018241566e+02,-1.165682639404e+02
40,19428,3557373046.875000,2.732977313066e+02,-1.171275991314e+02,2.861354134686e+02,-1.111255171805e+02,2.721014930412e+02,-1.170413497631e+02
41,19429,3557556152.343750,1.171275991314e+02,1.171275991314e+02,1.167642181363e+02,1.248693228489e+02,1.170181928952e+02,1.164408942028e+02
42,19430,3557739257.812500,3.904253304380e+01,1.952126652190e+02,3.369646017158e+01,2.026284259823e+02,3.958453777101e+01,1.946181960433e+02
43,19431,3557922363.281250,3.904253304380e+01,1.171275991314e+02,3.642637627848e+01,1.220370531807e+02,3.957278907067e+01,1.166636400191e+02
44,19432,3558105468.750000,-1.171275991314e+02,3.904253304380e+01,-1.219989710282e+02,3.647118512670e+01,-1.166352119526e+02,3.969741245694e+01
45,19433,3558288574.218750,-1.171275991314e+02,-2.732977313066e+02,-1.119313742050e+02,-2.854597778529e+02,-1.186402295130e+02,-2.722732466044e+02
46,19434,3558471679.687500,3.904253304380e+01,-2.732977313066e+02,4.901342259257e+01,-2.804008112671e+02,3.734381583171e+01,-2.733408697673e+02
47,19435,3558654785.156250,-3.904253304380e+01,1.952126652190e+02,-4.648879030397e+01,1.999043151772e+02,-3.770970598438e+01,1.954481040249e+02
48,19436,3558837890.625000,3.904253304380e+01,-1.952126652190e+02,4.647188659112e+01,-1.998805819025e+02,3.779500058903e+01,-1.955579564245e+02
49,19437,3559020996.093750,-1.171275991314e+02,1.952126652190e+02,-1.269038302249e+02,1.973678181559e+02,-1.158203848481e+02,1.961889939906e+02
