stage,evm_lin_percent,magnitude_only_evm_percent,phase_only_evm_percent,fitted_delay_s,fitted_delay_samples,gain_real,gain_imag,gain_abs_db,gain_phase_rad
after_h1,11.614516902,1.769355766,11.374247559,1.473192870419055e-09,17.678314445,3.555878673117e-01,-9.244912335184e-01,-0.082748734,-1.203609003337
after_plan_b_complex_fir,0.355536266,0.139884508,0.326844999,1.062500763998829e-08,127.500091680,9.999901302995e-01,1.887353094186e-04,-0.000085573,0.000188737170
after_plan_b_fixed_complex_fir,0.355931417,0.139564353,0.327411529,1.062499416998322e-08,127.499930040,9.999884507945e-01,-8.533382380838e-05,-0.000100284,-0.000085334809
