freq_hz,h1_db,h2_target_db,h2_actual_db,h2_actual_linear,h2_actual_phase_rad,htotal_actual_db
5500000000.000000,-0.277289155,0.277289155,0.244359447,1.028532388834,0.719948316448,-0.032929708
5501000000.000000,-0.288613798,0.288613798,0.247753839,1.028934411538,0.707512845527,-0.040859959
5502000000.000000,-0.270425438,0.270425438,0.250967319,1.029315152221,0.695077374607,-0.019458119
5503000000.000000,-0.282910591,0.282910591,0.254003416,1.029675005646,0.682641903686,-0.028907175
5504000000.000000,-0.264355900,0.264355900,0.256865614,1.030014362922,0.670206432766,-0.007490286
5505000000.000000,-0.268307730,0.268307730,0.259557352,1.030333611495,0.657770961845,-0.008750378
5506000000.000000,-0.270349037,0.270349037,0.262082021,1.030633135142,0.645335490925,-0.008267016
5507000000.000000,-0.266387857,0.266387857,0.264442969,1.030913313964,0.632900020004,-0.001944888
5508000000.000000,-0.270837720,0.270837720,0.266643501,1.031174524377,0.620464549084,-0.004194219
5509000000.000000,-0.282109232,0.282109232,0.268686876,1.031417139104,0.608029078164,-0.013422356
5510000000.000000,-0.279347177,0.279347177,0.270576314,1.031641527178,0.595593607243,-0.008770863
5511000000.000000,-0.282183467,0.282183467,0.272314988,1.031848053929,0.583158136323,-0.009868479
5512000000.000000,-0.274238040,0.274238040,0.273906035,1.032037080981,0.570722665402,-0.000332005
5513000000.000000,-0.268435584,0.268435584,0.275352545,1.032208966255,0.558287194482,0.006916961
5514000000.000000,-0.264625948,0.264625948,0.276657572,1.032364063958,0.545851723561,0.012031624
5515000000.000000,-0.269087352,0.269087352,0.277824127,1.032502724586,0.533416252641,0.008736775
5516000000.000000,-0.275882906,0.275882906,0.278855184,1.032625294924,0.520980781720,0.002972278
5517000000.000000,-0.290128678,0.290128678,0.279753676,1.032732118038,0.508545310800,-0.010375002
5518000000.000000,-0.275855476,0.275855476,0.280522499,1.032823533282,0.496109839879,0.004667023
5519000000.000000,-0.279627019,0.279627019,0.281164508,1.032899876297,0.483674368959,0.001537489
5520000000.000000,-0.283820076,0.283820076,0.281682524,1.032961479009,0.471238898038,-0.002137552
5521000000.000000,-0.268122826,0.268122826,0.282079328,1.033008669634,0.458803427118,0.013956502
5522000000.000000,-0.265623792,0.265623792,0.282357665,1.033041772678,0.446367956198,0.016733873
5523000000.000000,-0.262693003,0.262693003,0.282520244,1.033061108942,0.433932485277,0.019827241
5524000000.000000,-0.267363811,0.267363811,0.282569738,1.033066995523,0.421497014357,0.015205927
5525000000.000000,-0.279729636,0.279729636,0.282508783,1.033059745823,0.409061543436,0.002779147
5526000000.000000,-0.265078886,0.265078886,0.282339982,1.033039669546,0.396626072516,0.017261096
5527000000.000000,-0.282855263,0.282855263,0.282065900,1.033007072711,0.384190601595,-0.000789363
5528000000.000000,-0.259129128,0.259129128,0.281689071,1.032962257651,0.371755130675,0.022559943
5529000000.000000,-0.260809121,0.260809121,0.281211993,1.032905523025,0.359319659754,0.020402872
5530000000.000000,-0.262090203,0.262090203,0.280637129,1.032837163822,0.346884188834,0.018546926
5531000000.000000,-0.263385511,0.263385511,0.279966910,1.032757471369,0.334448717913,0.016581399
5532000000.000000,-0.275370289,0.275370289,0.279203735,1.032666733337,0.322013246993,0.003833446
5533000000.000000,-0.263885652,0.263885652,0.278349967,1.032565233756,0.309577776073,0.014464315
