tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
32,9.884746961564733e-01,-1.668687176110658e-01,32390,-5468,9.884643554687500e-01,-1.668701171875000e-01,1.002450706041160e+00,-1.034068772332031e-05,-1.399576434191196e-06
33,-4.044243796735287e-01,1.054723944432510e+00,-13252,34561,-4.044189453125000e-01,1.054718017578125e+00,1.129594962777192e+00,5.434361028677781e-06,-5.926854385496227e-06
34,-6.833065624549509e-01,-8.587528421147191e-01,-22391,-28140,-6.833190917968750e-01,-8.587646484375000e-01,1.097452369180590e+00,-1.252934192408350e-05,-1.180632278086069e-05
35,9.105152548046724e-01,-1.257712715136241e-01,29836,-4121,9.105224609375000e-01,-1.257629394531250e-01,9.191667252525907e-01,7.206132827564105e-06,8.332060499105509e-06
36,-2.477016165090951e-01,5.753469804531989e-01,-8117,18853,-2.477111816406250e-01,5.753479003906250e-01,6.264072445252332e-01,-9.565131529942761e-06,9.199374261248394e-07
37,-1.425519578413932e-01,-2.224526446273092e-01,-4671,-7289,-1.425476074218750e-01,-2.224426269531250e-01,2.641979232838671e-01,4.350419518212023e-06,1.001767418420951e-05
38,-1.140236644187466e-01,4.862041498493551e-02,-3736,1593,-1.140136718750000e-01,4.861450195312500e-02,1.239455008242355e-01,9.992543746631388e-06,-5.913031810508840e-06
39,1.432910387750294e-01,-4.509991554701995e-01,4695,-14778,1.432800292968750e-01,-4.509887695312500e-01,4.732018988113048e-01,-1.100947815441122e-05,1.038593894953088e-05
40,4.897608948665275e-01,5.691863201448524e-01,16048,18651,4.897460937500000e-01,5.691833496093750e-01,7.508800981621045e-01,-1.480111652751859e-05,-2.970535477375691e-06
41,-9.094903068405763e-01,1.586509902228925e-01,-29802,5199,-9.094848632812500e-01,1.586608886718750e-01,9.232204472020012e-01,5.443559326301362e-06,9.898448982526009e-06
42,3.444121147384304e-01,-9.103423072962112e-01,11286,-29830,3.444213867187500e-01,-9.103393554687500e-01,9.733158961737581e-01,9.271980319636164e-06,2.951827461239453e-06
43,5.621768349303082e-01,7.033358505285991e-01,18421,23047,5.621643066406250e-01,7.033386230468750e-01,9.003965383819558e-01,-1.252828968323350e-05,2.772518275850899e-06
